YouTubel,status,name,track,day,organization,photo,linkedin,linkedin2,twitter,twitter2,title,abstract,description,bio
,confirmed,Sam Currie,1,1,heyo.computer,Sam Currie.png,https://www.linkedin.com/in/sam-currie-b8a3103b/,,,,"Isolation: Containers, VMs, Namespaces, Oh my!","Modern systems increasingly rely on isolation mechanisms—especially with the rise of AI agents and sandboxed execution—but there are many different approaches and they each have different strengths and tradeoffs. We'll cover: • Linux namespaces and cgroups • Node isolates and runtime isolation • Isolation methods commonly used in agent frameworks and harnesses • Containers and container runtimes • Virtual machines and KVM • Architecture-level isolation patterns • Practical tradeoffs and real-world use cases Sam has run production workloads at scale across Kubernetes, containers, VMs, lambdas, Node isolates, and sandboxing platforms like E2B, and will share lessons from deploying these systems in practice.",,"Currently CEO of Heyo Computer, previously head of Infrastructure at Flatfile and Obvious.ai. Startup rat, drummer, and search & rescue first responder, now located in Buena Vista Colorado"
,confirmed,Yiwen Zhang,1,1,AWS,Yiwen Zhang.png,https://www.linkedin.com/in/yiwenzhg/,,,,Token Economics for Custom Built Agents,"Tokens are the atomic units of data that large language and multimodal models read, write, and reason over to generate outputs. Token economics studies how AI consumption is metered, attributed, and connected back to business outcomes. Token consumption at large enterprises is climbing far faster than per-token prices are falling, and AI spend is increasingly becoming a CEO-level concern rather than an engineering line item.
This talk examines token economics of custom-built agents, and the structural reasons behind their high costs. It surveys the emerging technologies and research to enhance token economics. Attendees will leave with a practical framework for locating and reducing their own token costs.",,"Yiwen Zhang is a Principal Applied GenAI Architect at AWS, where she designs and deploys generative AI applications and enterprise integration strategies for strategic customers. She holds a PhD in computational statistics and has spent a decade building and deploying AI/ML and data pipelines. She focuses on addressing challenging deployment questions such as ROI, AI agent performance tuning, cost management, and resilience. Her goal is to help enterprises build generative AI agents into “outcome as a service” solutions."
,confirmed,Zachary Gruenberg,1,1,Oasis Security,Zachary Gruenberg.png,https://linkedin.com/in/zag23,,,,Post Mcp-Session-Id: Auth and Kill Switches for Stateless MCP Agents,"The July 2026 MCP spec RC drops the initialize handshake and the Mcp-Session-Id header. If you built session auth, audit trails, or agent kill switches assuming a persistent session existed, that assumption just broke — and most people running MCP-connected agents in production haven’t dealt with it yet. I rebuilt my own agent runtime against this change and will share the details of the shift in architecture with you all.",,"Zach Gruenberg started at CyberArk as the company’s first AI SME, then moved to Palo Alto Networks as a CyberArk SME following PANW’s acquisition. He’s now a Solution Architect at Oasis Security, focused on non-human identity and agentic access management. He teaches an online community sharing his technical background and spends his time building and rebuilding his own agent infrastructure to work through the identity and auth problems agentic systems create in production."
,confirmed,Rajanikant Vellaturi,1,1,Tredence Inc.,Rajanikant Vellaturi.png,https://www.linkedin.com/in/rajanikant-vellaturi/,,,,From CSAT to AI Insights,"Enterprises are collecting large volumes of customer feedback, support interactions, and operational signals, but most teams still rely on manual analysis to identify patterns, risks, and improvement opportunities. In this session, I will share a practical enterprise AI workflow inspired by a real-world CSAT analytics use case, where AI was used to transform thousands of customer feedback responses into structured insights, leadership dashboards, and actionable signals.
The talk will cover how to design an end-to-end AI workflow using trusted enterprise data, LLM-based classification and summarization, metadata capture, validation, human review, and self-service analytics. I will also discuss the lessons learned while moving from manual reporting to an operational AI pipeline, including data quality, prompt design, evaluation, governance, and how to build trust with business stakeholders.
The goal of this session is to help data leaders, AI practitioners, and engineering teams understand how to move beyond GenAI demos and build AI workflows that deliver measurable business value in production environments.",,"Rajanikant Vellaturi is a Senior IEEE Member, author, and enterprise Data & AI architect with over two decades of experience building petabyte-scale platforms for Fortune 500 organizations across healthcare, CPG, and media. A pioneer of foundational architecture patterns such as the Medallion framework, Rajanikant specializes in transforming complex data ecosystems into real-time, AI-driven operational capabilities—powering everything from music recommendation engines for 100M+ users to enterprise-grade GenAI feedback pipelines. He serves on the Computer Science Advisory Board at East Carolina University, writes regularly on Data Lakehouses and AI Agents, and is a recognized 5× Top 50 Mentor on ADPList."
,confirmed,Paden Gayle,1,1,Notion,Paden Gayle.png,https://www.linkedin.com/in/padengayle/,,,,Evals Your Customer Will Actually Believe,"Your agent passes your benchmarks. The customer still won't ship it. Inside an enterprise you don't own, an eval isn't a leaderboard score; it's the artifact that convinces a skeptical stakeholder to put an agent in front of their users and their data. This talk walks through building evaluations an enterprise customer will actually believe: sourcing test cases from the customer's own failure history instead of a generic benchmark, making each failure legible enough that a non-engineer can see what broke and why, and turning ""looked good in the demo"" into a documented sign-off. Drawn from Forward Deployed work at Notion and an eval background from Scale AI, this covers the tradeoffs and the cases where this still falls short.",,"Paden Gayle is a Forward Deployed Engineer at Notion, previously a software engineer at Google and Bloomberg, and the author of an upcoming O'Reilly book on the Forward Deployed Engineer role. He started at Juilliard before finding his way into tech, and writes for ~23K people in tech on LinkedIn about breaking into Applied AI."
,confirmed,Maureese Williams,1,1,Disney,Maureese Williams.png,https://www.linkedin.com/in/maureese-williams,,,,What Did Your Agent Actually Do?,"An agent runs forty steps against a real repository. It reports success. Something breaks in production an hour later. Which step did it? For most agent stacks the honest answer is that nobody knows. The trace is a pile of model outputs describing what the agent *believed* it was doing, the run isn't reproducible, and re-running it produces a different plan anyway. Three properties fix this, and none of them require a better model. **Reliability.** The agent's world state comes from deterministic sensors, never from the model's own claims. When the model asserts ""tests passed"" and the sensor disagrees, that's a logged incident, not a state transition. Across an integration suite spanning six system archetypes, 611 of 611 injected false claims were refused, with zero false refusals on honest ones. **Reproducibility.** No RNG anywhere, ties broken lexicographically, plans replayed bit-exact from a hash-chained journal. Same input, same plan, every time: 120 of 120 generated systems deterministic, 114 of 114 crash-and-resume runs converging to the same state. **Auditability.** Every step writes an append-only record containing the full decision table that produced it. Tamper with any of it and the chain breaks (3,894 of 3,894 mutations detected). You can ask the system *why* it chose an action and get the actual reason, not a rationalization generated after the fact. Long horizons are where this pays for itself. At three steps you can eyeball the trace. At forty, determinism is the only thing standing between you and archaeology. I'll show LEDGER running against a real repository, break it on purpose, and replay the failure bit-exact. Then I'll be specific about the cost: what you give up, where the model still genuinely earns its place, and what this approach cannot do.",,"Maureese Williams is an AI/Data Engineer at Disney, building RAG and retrieval infrastructure for production systems, with 5+ years across distributed data and ML platforms on AWS and GCP. Co-author of **GATS** (Graph-Augmented Tree Search, arXiv:2607.08894), a planning framework that replaces per-step LLM calls with search over a persistent, verified world model, with zero model calls at plan time and zero plan variance. Presented the agent-verification side of this work at **DEF CON 34**."
,confirmed,Sai Varma Dantuluri,1,1,VotalAI,Sai Varma Dantuluri.png,https://www.linkedin.com/in/sai-varma-dantuluri/,,,,Agents Aren't Users,"Most teams secure LLM applications the way they secure software: test before launch, add a guardrail, move on. That model breaks down here. Models get updated, prompts change, tools get added, and an agent that was safe last quarter has a different attack surface this quarter. This talk covers three gaps I keep running into in production AI systems, and what to do about each.
First, why red teaming a model has to be continuous rather than a pre-launch gate, including what changed across iterations while testing NVIDIA's Nemotron content safety filter model with their AI engineering team.
Second, guardrails. What content filters and safety classifiers actually catch, the failure modes teams assume are covered but aren't, and how to build an evaluation loop that tells you when a guardrail has quietly stopped working.
Third, identity, the gap I think is most underestimated. Agents authenticate, hold credentials, call tools, and act on behalf of users, but the identity infrastructure we point at them was designed for humans making individual decisions. Sessions, MFA, least privilege, and audit trails don't map cleanly onto a non-deterministic system that spawns sub-agents and chains tool calls across systems. I'll walk through where that mismatch creates real exposure and what agent-native identity has to look like instead.
Attendees will leave with a working model for continuously testing their own LLM and agent deployments, not a threat list.",,"Sai Varma is an AI/LLM Security Researcher at Votal AI, where he focuses on adversarial testing of language models and agentic systems. He co-built Votal's AI red teaming framework alongside the company's CTO and red-teamed NVIDIA's Nemotron content safety filter model, working directly with NVIDIA's AI engineers to address the security issues surfaced during testing."
,confirmed,Sevak Avakians,1,1,USAA,Sevak Avakians.png,https://www.linkedin.com/in/avakians/,,,,Beyond the Next Token: The open future of language models,"Solving the black box explainability, traceability, determinism and real time learning problems.
Demo of the next generation of language models.",,"Sevak Avakians is AI Principal at USAA and the creator of GAIuS, a deterministic, fully explainable ML approach and the first certifiable under FAA DO-178C for civil aviation. He founded Intelligent Artifacts in 2009 and exited after growing it to a $100M valuation. He is now building KATO, a framework for regulated industries. His work argues that black-box systems cannot meet the demands of environments where lives and livelihoods are at stake."
