YouTubel,status,name,track,day,organization,photo,linkedin,linkedin2,twitter,twitter2,title,abstract,description,bio
,confirmed,Rafael Pierre,1,1,Citi,Rafael Pierre.png,https://www.linkedin.com/in/rafaelpierre/,,,,Agents Improving Agents: Closing the Loop with Evals and Observability,"Building AI agents is getting easier. Improving them systematically is still hard.

In this talk, I’ll show how we can close that loop by combining automated experiments, evaluation, observability, and coding assistants. Using Pegasus, a platform I built to automate agent experiments and evals, I’ll demonstrate how OpenTelemetry traces and spans can become feedback that a coding assistant can inspect directly. The assistant can analyse how an agent behaved, identify failure modes, make changes, rerun experiments, and evaluate whether those changes actually improved the system.

Attendees will learn how to build a practical self-improvement flywheel around agentic systems: observe what happened, understand why it happened, change the system, measure the result, and repeat.
",,"Rafael Pierre is a Lead AI Engineer specialising in production AI systems, agentic applications, evaluation, and observability. He currently leads the development of Pegasus, an evaluation and observability platform for production AI agents. Over the past 7+ years, he has built and deployed AI and ML systems across organisations including Citi, Hugging Face, Databricks, ING, and ABN AMRO, with a focus on taking complex AI systems from prototype to reliable production deployments."
,confirmed,Alper Nebi Kanli,1,1,Optimizely,Alper Nebi Kanli.png,https://www.linkedin.com/in/alpernkanli,,,,Interpretability x Retrieval: Inside the Models That Power Search,"Embedding models for retrieval have long been treated as black boxes. That has started to change. A young research field at the intersection of mechanistic interpretability and information retrieval has begun opening retrievers up, and the findings quickly turn into capabilities: embeddings that unfold into interpretable latent terms, so you can actually read why a document matched; sparse features usable as an indexing vocabulary in their own right; and relevance signals you can locate and steer, changing what a retriever favours without retraining it. This talk is a tour of these findings and what they make possible in practice, including what the same lens reveals about classic failure modes such as hub documents and collapsing multi-intent queries.",,"Alper Nebi Kanlı is a Staff Software Engineer (AI Search) at Optimizely in London, where he builds search and retrieval systems. He has spent a decade working on search, AI engineering, and machine learning in production. He writes about language models at alpernebikanli.com, time to time speaks at London AI meetups including PyData London, and co-organizes the AI Signals meetup."
,confirmed,Kannupriya Kalra & Rory Graves,1,1,LLM4S Foundation & The Trade Desk,Kannupriya Kalra & Rory Graves.png,https://www.linkedin.com/in/kannupriyakalra/,https://www.linkedin.com/in/roryjgraves/,,,LLM4S 1.0: From Idea to Production AI in Scala/JVM,"18 months after LLM4S kicked off, and one year after Kannupriya Kalra
and Rory Graves showed a usable version on the Scala Days Switzerland
stage, LLM4S has matured into a production-ready platform.

In this talk, we’ll share the journey to LLM4S 1.0, from an ambitious
idea for bringing first-class generative AI capabilities to Scala and
JVM to a complete platform for building production AI applications.

We’ll explore what worked, what failed, what we learned from building in
one of the fastest-moving areas of technology, and why Scala’s type
system and functional programming foundations have proved particularly
valuable in the age of LLMs and agents.

Along the way, we’ll demonstrate how LLM4S has evolved to support
capabilities including multi-provider LLM integration, tool calling,
MCP, agent orchestration, memory, observability, streaming, speech and
multimodal AI, and production deployment patterns.

Expect live demos, architecture diagrams, lessons from the open-source
journey, and a practical look at what it takes to move from an AI
experiment to a production-ready Scala application.

Whether you have followed LLM4S from the beginning or are discovering it
for the first time, you’ll leave with a clear picture of what LLM4S 1.0
can do, where the ecosystem is heading, and why your next AI project can
be built in Scala.",,"[Kannupriya Kalra](https://www.linkedin.com/in/kannupriyakalra/) is the Co-Founder of the LLM4S Foundation and creator of LLM4S, an AI-native platform for Scala. She is an engineering leader based in London. 

She contributes to the AI and Scala open-source ecosystem through the Scala Center and Google Open Source and has led Google Summer of Code programmes for the Scala Center in 2024 and 2025. She is also collaborating with Manning Publishing in New York to create practical AI learning resources for developers. 
A global speaker, Kannupriya has presented on AI, Scala, and open source in more than ten countries. She is passionate about empowering developers through hands-on generative AI projects, open-source contributions, and responsible AI education. 
Her engineering experience includes building scalable backend systems using functional Scala at Sky in London. 

 
[Rory Graves](https://www.linkedin.com/in/roryjgraves/) has been passionate about coding for as long as he can remember, starting with writing games in BASIC many years ago. Over a 30+ year career, he has worked across a vast range of systems, from embedded software to distributed, internet-scale bidding engines. His experience spans industries, company sizes, from two-person startups to 
multinational corporations, and programming paradigms. 
A long-time advocate of Scala, Rory has contributed to numerous open-source projects, including performance optimisations in the Scala compiler. Today, he works in a hybrid role supporting applied AI and ML research while continuing to mentor developers and share knowledge through public speaking. 
Outside software, Rory is a martial artist, a windmill tour guide, and a passionate mentor of programming and public speaking."
