Name,Job,Company,Linkedin,Note,Event,Speaker,Headshot
Jacek Migdal,CEO & Founder,Quesma,https://www.linkedin.com/in/jacekmigdal/,"What started as a casual conversation with Miko and Mark in San Francisco, turned into LLMday Warsaw, and that still says a lot about the power of networking. When the right people connect with shared intent, things move quickly. I’m proud of what we built together and excited to see what we create next.",Poland,All SREday locations,Jacek Migdal.png
Martyna Chrulska,Warsaw Site Manager,Monday.com,https://www.linkedin.com/in/martyna-chrulska-a009a15a/,"I helped organize LLMday Warsaw on behalf of Monday.com, and it was a real pleasure working with Mark and Miko. They care about the details, the experience, and the people in the room, and it shows. I had a lot of fun building this together and I’m looking forward to what’s coming next, both in Warsaw and in other locations.",Poland,All SREday locations,Martyna Chrulska.png
Piotr Migdal,Founding Engineer,Quesma,https://www.linkedin.com/in/piotrmigdal/,"As the Founding Engineer at Quesma, I’m thrilled to help put together LLMday Warsaw. It’s been rewarding to contribute to something that brings sharp technical minds into the same room. It’s a great conference and an even better community.",Poland,All SREday locations,Piotr Migdal.png
Geertjan Wielenga,Community Manager,Foojay.io,https://www.linkedin.com/in/geertjanwielenga/,"I’ve been working with Mark since 2024, helping build the community from the ground up. It’s been clear from the start that he’s intentional about what he’s creating. As a meetup and conference organizer myself, I know how much unseen work goes into making something like this happen. It takes real commitment. I’m excited to see where LLMday goes next and how the community continues to grow.",Netherlands,All SREday locations,Geertjan Wielenga.png
Maxim Salnikov,Senior Solution Engineer - AI-Native Developer Tools,Microsoft,https://www.linkedin.com/in/webmax/,"I e-met Mark at the Conf42 JavaScript online conference back in 2021 , and what started as a simple introduction quickly grew into something bigger. Over time, the community brought us together to organize the first in person Prompt Engineering Conference in London, which turned into a real smash hit. The energy and conversations in the room made it clear we were onto something meaningful. I am excited for what comes next and the new adventures ahead. I truly believe PEC and LLMday can complement each other in powerful ways for the community we are building.",Norway,All SREday locations,Maxim Salnikov.png
