YouTube,status,name,track,day,organization,photo,linkedin,linkedin2,twitter,twitter2,title,abstract,description,bio
,keynote,Abi Aryan,1,1,Abide AI,Abi Aryan.png,https://www.linkedin.com/in/goabiaryan/,,,,Reliability Engineering for Inference Serving,"Training gave us powerful models, but inference is where the real production battle begins. Agentic workflows are burning money by the second, GPU economics are tightening each quarter, and a single unpredictable latency tail or silent kernel failure can turn a working system into an outage. Reliability thus is no longer just about uptime.This keynote is a call to SREs, GPU engineers, and LLMOps practitioners. I’ll share some of the hard lessons, emerging patterns, and new rules shaping the next decade of reliable AI systems",,"Abi Aryan is the founder of Abide AI, educator and author of the O'Reilly book LLMOps and an upcoming book in GPU Engineering. With over 10 years of experience productionizing AI/ML systems and prior research experience at UCLA under Dr. Judea Pearl, she has been focusing on making AI systems reliable, observable, and sustainable at scale."
,confirmed,Fabricio De los Santos,1,1,DELFA,Fabricio De los Santos.png,https://www.linkedin.com/in/podcastfabricio/,,,,The Next Step,"In AI and LLM projects, we often talk about big ideas. But in my experience, the real difficulty is not always having the idea. It is knowing what to do next.

When an idea feels too big, too abstract, or too ambitious, it is easy to postpone it, overbuild it, or create a demo that looks interesting but does not solve a real problem. In this talk, I would like to share a simple way of thinking that has helped me in real automation, integration, and LLM projects: instead of asking only “Will this idea work?”, I try to ask “What is the next step I can take to validate it?”

That next step can be a small prototype, a manual test, a workflow with an LLM, a conversation with users, or even the conclusion that AI is not necessary yet. I will share practical lessons from building AI workflows, assistants, and enterprise automations, including some doubts, mistakes, and decisions that usually happen before an idea becomes a real product.

The goal is not to present a perfect formula, but to open a conversation with the community about how we can move from AI enthusiasm to useful experiments, without losing focus or control.",,"Fabricio De los Santos is an AI Solutions & Integration Architect with more than 25 years of experience in enterprise software, system integrations, automation, and applied AI across LATAM and Europe. He is co-founder of DELFA and leads the development of ROMA360, an AI-enabled automation platform focused on workflows, integrations, and assistants. His work combines practical LLM integrations, RAG, APIs, FastAPI, n8n, low-code experience, and real production projects. He is also an author and writes about AI, technology, and human decision-making."
